title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
bib (full)	EMNLP			https://aclanthology.org/volumes/2025.emnlp-main.bib		auto					main
Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing	EMNLP			https://aclanthology.org/2025.emnlp-main.0/		auto					main
Towards Automated Error Discovery: A Study in ConversationalAI	EMNLP			https://aclanthology.org/2025.emnlp-main.1/		auto					main
Break the Checkbox: Challenging Closed-Style Evaluations of Cultural Alignment inLLMs	EMNLP			https://aclanthology.org/2025.emnlp-main.2/		auto					main
Biased Tales: Cultural and Topic Bias in Generating Children’s Stories	EMNLP			https://aclanthology.org/2025.emnlp-main.3/		auto					main
Large Language Models as Realistic Microservice Trace Generators	EMNLP			https://aclanthology.org/2025.emnlp-main.4/		auto					main
JUDGEBERT: Assessing Legal Meaning Preservation Between Sentences	EMNLP		2508.16870	https://aclanthology.org/2025.emnlp-main.5/		auto					main
QFrCoLA: aQuebec-French Corpus of Linguistic Acceptability Judgments	EMNLP			https://aclanthology.org/2025.emnlp-main.6/		auto					main
RevisitingLLMValue Probing Strategies: Are They Robust and Expressive?	EMNLP			https://aclanthology.org/2025.emnlp-main.7/		auto					main
A Systematic Analysis of Base Model Choice for Reward Modeling	EMNLP		2505.10775	https://aclanthology.org/2025.emnlp-main.8/		auto					main
Comparing Specialised Small and General Large Language Models on Text Classification: 100 Labelled Samples to Achieve Break-Even Performance	EMNLP			https://aclanthology.org/2025.emnlp-main.9/		auto					main
Is the Top Still Spinning? Evaluating Subjectivity in Narrative Understanding	EMNLP		2504.01132	https://aclanthology.org/2025.emnlp-main.10/		auto					main
MathTutorBench: A Benchmark for Measuring Open-ended Pedagogical Capabilities ofLLMTutors	EMNLP			https://aclanthology.org/2025.emnlp-main.11/		auto					main
Preemptive Detection and Correction of Misaligned Actions inLLMAgents	EMNLP			https://aclanthology.org/2025.emnlp-main.12/		auto					main
FingerprintingLLMs through Survey Item Factor Correlation: A Case Study on Humor Style Questionnaire	EMNLP			https://aclanthology.org/2025.emnlp-main.13/		auto					main
Gradient-Attention Guided Dual-Masking Synergetic Framework for Robust Text-based Person Retrieval	EMNLP		2509.09118	https://aclanthology.org/2025.emnlp-main.14/		auto					main
From Problem-Solving to Teaching Problem-Solving: AligningLLMs with Pedagogy using Reinforcement Learning	EMNLP			https://aclanthology.org/2025.emnlp-main.15/		auto					main
CompKBQA: Component-wise Task Decomposition for Knowledge Base Question Answering	EMNLP			https://aclanthology.org/2025.emnlp-main.16/		auto					main
Permutative Preference Alignment from Listwise Ranking of Human Judgments	EMNLP			https://aclanthology.org/2025.emnlp-main.17/		auto					main
ToneCraft:Cantonese Lyrics Generation with Harmony of Tones and Pitches	EMNLP			https://aclanthology.org/2025.emnlp-main.18/		auto					main
SensorLLM: Aligning Large Language Models with Motion Sensors for Human Activity Recognition	EMNLP			https://aclanthology.org/2025.emnlp-main.19/		auto					main
MixLoRA-DSI: Dynamically Expandable Mixture-of-LoRAExperts for Rehearsal-Free Generative Retrieval over Dynamic Corpora	EMNLP			https://aclanthology.org/2025.emnlp-main.20/		auto					main
ViClaim: A Multilingual Multilabel Dataset for Automatic Claim Detection in Videos	EMNLP		2504.12882	https://aclanthology.org/2025.emnlp-main.21/		auto					main
DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments	EMNLP		2504.03160	https://aclanthology.org/2025.emnlp-main.22/		auto					main
Mixture of Length and Pruning Experts for Knowledge Graphs Reasoning	EMNLP		2507.20498	https://aclanthology.org/2025.emnlp-main.23/		auto					main
MPRF: Interpretable Stance Detection through Multi-Path Reasoning Framework	EMNLP			https://aclanthology.org/2025.emnlp-main.24/		auto					main
Analyzing the Effects of Supervised Fine-Tuning on Model Knowledge from Token and Parameter Levels	EMNLP		2509.16596	https://aclanthology.org/2025.emnlp-main.25/		auto					main
JI2S: JointInfluence‐Aware Instruction Data Selection for EfficientFine‐Tuning	EMNLP			https://aclanthology.org/2025.emnlp-main.26/		auto					main
SoundMind:RL-Incentivized Logic Reasoning for Audio-Language Models	EMNLP			https://aclanthology.org/2025.emnlp-main.27/		auto					main
Seeing More, Saying More: Lightweight Language Experts are Dynamic Video Token Compressors	EMNLP		2509.00969	https://aclanthology.org/2025.emnlp-main.28/		auto					main
RoT: Enhancing Table Reasoning with Iterative Row-Wise Traversals	EMNLP		2505.15110	https://aclanthology.org/2025.emnlp-main.29/		auto					main
T-MAD: Target-driven Multimodal Alignment for Stance Detection	EMNLP			https://aclanthology.org/2025.emnlp-main.30/		auto					main
Emotion Transfer with Enhanced Prototype for Unseen Emotion Recognition in Conversation	EMNLP		2508.19533	https://aclanthology.org/2025.emnlp-main.31/		auto					main
PBI-Attack: Prior-Guided Bimodal Interactive Black-Box Jailbreak Attack for Toxicity Maximization	EMNLP			https://aclanthology.org/2025.emnlp-main.32/		auto					main
Training a Utility-based Retriever Through Shared Context Attribution for Retrieval-Augmented Language Models	EMNLP		2504.00573	https://aclanthology.org/2025.emnlp-main.33/		auto					main
SportReason: Evaluating Retrieval-Augmented Reasoning across Tables and Text for Sports Question Answering	EMNLP			https://aclanthology.org/2025.emnlp-main.34/		auto					main
MAC-Tuning:LLMMulti-Compositional Problem Reasoning with Enhanced Knowledge Boundary Awareness	EMNLP			https://aclanthology.org/2025.emnlp-main.35/		auto					main
CODI: Compressing Chain-of-Thought into Continuous Space via Self-Distillation	EMNLP		2502.21074	https://aclanthology.org/2025.emnlp-main.36/		auto					main
PAFT: Prompt-Agnostic Fine-Tuning	EMNLP		2502.12859	https://aclanthology.org/2025.emnlp-main.37/		auto					main
Theorem-Validated Reverse Chain-of-Thought Problem Generation for Geometric Reasoning	EMNLP			https://aclanthology.org/2025.emnlp-main.38/		auto					main
TACO: Enhancing Multimodal In-context Learning via Task Mapping-Guided Sequence Configuration	EMNLP		2505.17098	https://aclanthology.org/2025.emnlp-main.39/		auto					main
Towards Controllable Speech Synthesis in the Era of Large Language Models: A Systematic Survey	EMNLP			https://aclanthology.org/2025.emnlp-main.40/		auto					main
Automating Steering for Safe Multimodal Large Language Models	EMNLP		2507.13255	https://aclanthology.org/2025.emnlp-main.41/		auto					main
EMNLP: Educator-role Moral and Normative Large Language Models Profiling	EMNLP		2508.15250	https://aclanthology.org/2025.emnlp-main.42/		auto					main
TracSum: A New Benchmark for Aspect-Based Summarization with Sentence-Level Traceability in Medical Domain	EMNLP		2508.13798	https://aclanthology.org/2025.emnlp-main.43/		auto					main
Context Reasoner: Incentivizing Reasoning Capability for Contextualized Privacy and Safety Compliance via Reinforcement Learning	EMNLP		2505.14585	https://aclanthology.org/2025.emnlp-main.44/		auto					main
Towards General-Domain Word Sense Disambiguation: Distilling Large Language Model into Compact Disambiguator	EMNLP			https://aclanthology.org/2025.emnlp-main.45/		auto					main
SLoW: Select Low-frequency Words! Automatic Dictionary Selection for Translation on Large Language Models	EMNLP		2507.18902	https://aclanthology.org/2025.emnlp-main.46/		auto					main
Parallel Continuous Chain-of-Thought with Jacobi Iteration	EMNLP		2506.18582	https://aclanthology.org/2025.emnlp-main.47/		auto					main
EQA-RM: A Generative Embodied Reward Model with Test-time Scaling	EMNLP		2506.10389	https://aclanthology.org/2025.emnlp-main.48/		auto					main
Refusal-Aware Red Teaming: Exposing Inconsistency in Safety Evaluations	EMNLP			https://aclanthology.org/2025.emnlp-main.49/		auto					main
OmniThink: Expanding Knowledge Boundaries in Machine Writing through Thinking	EMNLP		2501.09751	https://aclanthology.org/2025.emnlp-main.50/		auto					main
LinkAlign: Scalable Schema Linking for Real-World Large-Scale Multi-Database Text-to-SQL	EMNLP		2503.18596	https://aclanthology.org/2025.emnlp-main.51/		auto					main
On Relation-Specific Neurons in Large Language Models	EMNLP		2502.17355	https://aclanthology.org/2025.emnlp-main.52/		auto					main
IPIGuard: A Novel Tool Dependency Graph-Based Defense Against Indirect Prompt Injection inLLMAgents	EMNLP			https://aclanthology.org/2025.emnlp-main.53/		auto					main
ProtoVQA: An Adaptable Prototypical Framework for Explainable Fine-Grained Visual Question Answering	EMNLP		2509.16680	https://aclanthology.org/2025.emnlp-main.54/		auto					main
SEA: Supervised Embedding Alignment for Token-Level Visual-Textual Integration inMLLMs	EMNLP			https://aclanthology.org/2025.emnlp-main.55/		auto					main
Molecular String Representation Preferences in PretrainedLLMs: A Comparative Study in Zero- & Few-Shot Molecular Property Prediction	EMNLP			https://aclanthology.org/2025.emnlp-main.56/		auto					main
Weight-Aware Activation Sparsity with ConstrainedBayesian Optimization Scheduling for Large Language Models	EMNLP			https://aclanthology.org/2025.emnlp-main.57/		auto					main
DatawiseAgent: A Notebook-CentricLLMAgent Framework for Adaptive and Robust Data Science Automation	EMNLP			https://aclanthology.org/2025.emnlp-main.58/		auto					main
VC4VG: Optimizing Video Captions for Text-to-Video Generation	EMNLP		2510.24134	https://aclanthology.org/2025.emnlp-main.59/		auto					main
LaMP-QA: A Benchmark for Personalized Long-form Question Answering	EMNLP		2506.00137	https://aclanthology.org/2025.emnlp-main.60/		auto					main
TheLLMAlready Knows: EstimatingLLM-Perceived Question Difficulty via Hidden Representations	EMNLP			https://aclanthology.org/2025.emnlp-main.61/		auto					main
MCIP: ProtectingMCPSafety via Model Contextual Integrity Protocol	EMNLP			https://aclanthology.org/2025.emnlp-main.62/		auto					main
SAKI-RAG: Mitigating Context Fragmentation in Long-DocumentRAGvia Sentence-level Attention Knowledge Integration	EMNLP			https://aclanthology.org/2025.emnlp-main.63/		auto					main
Skeletons Matter: Dynamic Data Augmentation for Text-to-Query	EMNLP		2511.18934	https://aclanthology.org/2025.emnlp-main.64/		auto					main
CondenseLM:LLMs-driven Text Dataset Condensation via Reward Matching	EMNLP			https://aclanthology.org/2025.emnlp-main.65/		auto					main
MovieCORE:COgnitiveREasoning in Movies	EMNLP			https://aclanthology.org/2025.emnlp-main.66/		auto					main
Think Wider, Detect Sharper: Reinforced Reference Coverage for Document-Level Self-Contradiction Detection	EMNLP			https://aclanthology.org/2025.emnlp-main.67/		auto					main
DRISHTIKON: A Multimodal Multilingual Benchmark for Testing Language Models’ Understanding onIndian Culture	EMNLP			https://aclanthology.org/2025.emnlp-main.68/		auto					main
LingGym: How Far AreLLMs from Thinking Like Field Linguists?	EMNLP			https://aclanthology.org/2025.emnlp-main.69/		auto					main
Learning from Few Samples: A Novel Approach for High-Quality Malcode Generation	EMNLP		2508.18148	https://aclanthology.org/2025.emnlp-main.70/		auto					main
Personality Matters: User Traits PredictLLMPreferences in Multi-Turn Collaborative Tasks	EMNLP			https://aclanthology.org/2025.emnlp-main.71/		auto					main
VisualWebInstruct: Scaling up Multimodal Instruction Data through Web Search	EMNLP		2503.10582	https://aclanthology.org/2025.emnlp-main.72/		auto					main
